config_key,k1,b,fb_terms,fb_docs,original_weight,rrf_k,prf_fb_docs,prf_top_passages,expansion_terms,expansion_token_budget,batch_size,alpha,passage_size,passage_stride,rerank_k,map
MultiBranch__alpha=0.8__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=60,0.6,0.4,100,5,0.4,60,10,5,12,40,8,0.8,256,64,500,0.3333779249848528
MultiBranch__alpha=0.7__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.7,256,64,500,0.3420851731426433
MultiBranch__alpha=0.8__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.8,256,64,500,0.3419838526195654
MultiBranch__alpha=0.4__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=40,0.6,0.4,100,5,0.4,40,10,5,12,40,8,0.4,256,64,500,0.3314947156063429
MultiBranch__alpha=0.5__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=40,0.6,0.4,100,5,0.4,40,10,5,12,40,8,0.5,256,64,500,0.3346518172556179
MultiBranch__alpha=0.6__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=40,0.6,0.4,100,5,0.4,40,10,5,12,40,8,0.6,256,64,500,0.3398112351192954
MultiBranch__alpha=0.7__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=40,0.6,0.4,100,5,0.4,40,10,5,12,40,8,0.7,256,64,500,0.3398931894730546
MultiBranch__alpha=0.8__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=40,0.6,0.4,100,5,0.4,40,10,5,12,40,8,0.8,256,64,500,0.3393108086463934
MultiBranch__alpha=0.2__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=60,0.6,0.4,100,5,0.4,60,10,5,12,40,8,0.2,256,64,500,0.3080394664547226
MultiBranch__alpha=0.3__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=60,0.6,0.4,100,5,0.4,60,10,5,12,40,8,0.3,256,64,500,0.3161853033562373
MultiBranch__alpha=0.4__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=60,0.6,0.4,100,5,0.4,60,10,5,12,40,8,0.4,256,64,500,0.3264786974549644
MultiBranch__alpha=0.5__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=60,0.6,0.4,100,5,0.4,60,10,5,12,40,8,0.5,256,64,500,0.3301249975242928
