config_key,k1,b,fb_terms,fb_docs,original_weight,rrf_k,prf_fb_docs,prf_top_passages,expansion_terms,expansion_token_budget,batch_size,alpha,passage_size,passage_stride,rerank_k,map
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=100__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,256,64,100,0.3156456939562433
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=200__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,256,64,200,0.3205615781762352
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,256,64,500,0.3251841649607402
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=50__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,256,128,50,0.3053887372199
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=100__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,256,128,100,0.3092163503922023
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=200__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,256,128,200,0.3129341014774128
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=128__prf_fb_docs=5__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,12,40,8,0.35,256,128,500,0.3167982688084096
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=3__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,5,12,40,8,0.35,128,64,500,0.319366910825888
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=3__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,5,24,40,8,0.35,128,64,500,0.321308385261267
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=3__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,10,12,40,8,0.35,128,64,500,0.3141073450823329
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=3__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,10,24,40,8,0.35,128,64,500,0.3174861753548009
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=3__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,20,12,40,8,0.35,128,64,500,0.3166223410279697
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=3__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,20,24,40,8,0.35,128,64,500,0.3146351741733942
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,5,12,40,8,0.35,128,64,500,0.3232214896597917
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,5,24,40,8,0.35,128,64,500,0.3189340345451522
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,10,24,40,8,0.35,128,64,500,0.321007054970584
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,20,12,40,8,0.35,128,64,500,0.3130187617487878
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=5__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,5,20,24,40,8,0.35,128,64,500,0.3121858750231491
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,12,40,8,0.35,128,64,500,0.3272269700836419
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=10__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,5,24,40,8,0.35,128,64,500,0.3260764877886546
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=10__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,10,12,40,8,0.35,128,64,500,0.3232441213970412
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=10__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,10,24,40,8,0.35,128,64,500,0.3223262021265491
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=10__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,20,12,40,8,0.35,128,64,500,0.3169923827666765
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=128__passage_stride=64__prf_fb_docs=10__prf_top_passages=20__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,10,20,24,40,8,0.35,128,64,500,0.3159879385548554
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=3__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,5,12,40,8,0.35,256,64,500,0.3216549283120948
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=24__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=3__prf_top_passages=5__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,5,24,40,8,0.35,256,64,500,0.3176750443101486
MultiBranch__alpha=0.35__b=0.4__batch_size=8__expansion_terms=12__expansion_token_budget=40__fb_docs=5__fb_terms=100__k1=0.6__original_weight=0.4__passage_size=256__passage_stride=64__prf_fb_docs=3__prf_top_passages=10__rerank_k=500__rrf_k=20,0.6,0.4,100,5,0.4,20,3,10,12,40,8,0.35,256,64,500,0.3190867881626522
